Point,lat,lon,planeType,Common_ter,Dip,Dip_Azimuth
251,38.8755497,-110.2660743,trough,Paleocurrent,-,160
252,38.8767509,-110.2682633,trough,Paleocurrent,-,118
253,38.8766893,-110.2684983,trough,Paleocurrent,-,80
254,38.8767744,-110.2686566,trough,Paleocurrent,-,69
255,38.876836,-110.2687481,trough,Paleocurrent,-,88
256,38.8770435,-110.2688772,trough,Paleocurrent,-,78
257,38.876949,-110.269194,trough,Paleocurrent,-,75
258,38.8769039,-110.269198,trough,Paleocurrent,-,70
259,38.8768916,-110.2692218,trough,Paleocurrent,-,80
260,38.8767901,-110.2693975,trough,Paleocurrent,-,60
261,38.8767862,-110.2694864,trough,Paleocurrent,-,65
262,38.8767454,-110.2694441,trough,Paleocurrent,-,75
263,38.8766825,-110.2695246,trough,Paleocurrent,-,65
264,38.8767512,-110.2696114,trough,Paleocurrent,-,95
265,38.8766233,-110.2717887,trough,Paleocurrent,-,287
266,38.8767862,-110.271837,trough,Paleocurrent,-,322
267,38.8774966,-110.2723346,trough,Paleocurrent,-,318
268,38.8765014,-110.2709951,trough,Paleocurrent,-,332
269,38.8761819,-110.2700165,trough,Paleocurrent,21.09,32.11
270,38.8762286,-110.2699427,trough,Paleocurrent,15.64,11.75
271,38.8762746,-110.2698733,trough,Paleocurrent,15.55,12.99
272,38.8763082,-110.269824,trough,Paleocurrent,17.55,43.84
273,38.8762785,-110.2696684,trough,Paleocurrent,19.06,66.11
274,38.8760266,-110.2695276,trough,Paleocurrent,9.53,72.85
275,38.8760036,-110.2695772,trough,Paleocurrent,15.22,38.79
276,38.8759835,-110.2695742,trough,Paleocurrent,17.17,67.9
277,38.8759548,-110.2696366,trough,Paleocurrent,24.89,84.78
278,38.8759225,-110.269702,trough,Paleocurrent,16.71,53.61
279,38.8758447,-110.2698139,trough,Paleocurrent,15.32,8.1
280,38.8757948,-110.2699139,trough,Paleocurrent,16.05,15.86
281,38.8758027,-110.2700084,trough,Paleocurrent,19.6,99.03
282,38.8758896,-110.2702703,trough,Paleocurrent,31.59,33.25
283,38.8750809,-110.266028,trough,Paleocurrent,-,152
284,38.8757444,-110.2663462,trough,Paleocurrent,15.78,112.12
285,38.8758781,-110.2664508,trough,Paleocurrent,7.74,196.13
286,38.8758849,-110.2663968,trough,Paleocurrent,12.22,139.51
287,38.8759629,-110.2664756,trough,Paleocurrent,19.22,162.18
288,38.8759838,-110.2665611,trough,Paleocurrent,9.2,148.26
289,38.8760637,-110.2666181,trough,Paleocurrent,-,128
290,38.8761576,-110.2666841,trough,Paleocurrent,12.76,143.56
291,38.8761822,-110.2667626,trough,Paleocurrent,-,128
292,38.8762265,-110.2668008,trough,Paleocurrent,-,126
293,38.8763046,-110.2668766,trough,Paleocurrent,-,121
294,38.8763537,-110.2669839,trough,Paleocurrent,-,116
295,38.8764293,-110.2670888,trough,Paleocurrent,16.19,113.28
296,38.8764427,-110.2671482,trough,Paleocurrent,15.85,107.6
297,38.8764669,-110.2671388,trough,Paleocurrent,24.14,129.76
298,38.8764735,-110.2672095,trough,Paleocurrent,19.66,96.18
299,38.8764962,-110.2671901,trough,Paleocurrent,-,119
